Age,Education,Race,Sex,Hours Per Week,Salary
39, Bachelors, White, Male,40, <=50K
50, Bachelors, White, Male,13, <=50K
38, HS-grad, White, Male,40, <=50K
53, 11th, Black, Male,40, <=50K
28, Bachelors, Black, Female,40, <=50K
37, Masters, White, Female,40, <=50K
49, 9th, Black, Female,16, <=50K
52, HS-grad, White, Male,45, >50K
31, Masters, White, Female,50, >50K
42, Bachelors, White, Male,40, >50K
37, Some-college, Black, Male,80, >50K
30, Bachelors, Asian-Pac-Islander, Male,40, >50K
23, Bachelors, White, Female,30, <=50K
32, Assoc-acdm, Black, Male,50, <=50K
40, Assoc-voc, Asian-Pac-Islander, Male,40, >50K
34, 7th-8th, Amer-Indian-Eskimo, Male,45, <=50K
25, HS-grad, White, Male,35, <=50K
32, HS-grad, White, Male,40, <=50K
38, 11th, White, Male,50, <=50K
43, Masters, White, Female,45, >50K
40, Doctorate, White, Male,60, >50K
54, HS-grad, Black, Female,20, <=50K
35, 9th, Black, Male,40, <=50K
43, 11th, White, Male,40, <=50K
59, HS-grad, White, Female,40, <=50K
56, Bachelors, White, Male,40, >50K
19, HS-grad, White, Male,40, <=50K
54, Some-college, Asian-Pac-Islander, Male,60, >50K
39, HS-grad, White, Male,80, <=50K
49, HS-grad, White, Male,40, <=50K
23, Assoc-acdm, White, Male,52, <=50K
20, Some-college, Black, Male,44, <=50K
45, Bachelors, White, Male,40, <=50K
30, Some-college, White, Male,40, <=50K
22, Some-college, Black, Male,15, <=50K
48, 11th, White, Male,40, <=50K
21, Some-college, White, Male,40, <=50K
19, HS-grad, White, Female,25, <=50K
31, Some-college, White, Male,38, >50K
48, Assoc-acdm, White, Male,40, <=50K
31, 9th, White, Male,43, <=50K
53, Bachelors, White, Male,40, <=50K
24, Bachelors, White, Male,50, <=50K
49, HS-grad, White, Female,40, <=50K
25, HS-grad, White, Male,35, <=50K
57, Bachelors, Black, Male,40, >50K
53, HS-grad, White, Male,38, <=50K
44, Masters, White, Female,40, <=50K
41, Assoc-voc, White, Male,40, <=50K
29, Assoc-voc, White, Male,43, <=50K
25, Some-college, Other, Female,40, <=50K
18, HS-grad, White, Female,30, <=50K
47, Prof-school, White, Female,60, >50K
50, Bachelors, White, Male,55, >50K
47, HS-grad, White, Male,60, <=50K
43, Some-college, White, Male,40, >50K
46, 5th-6th, White, Male,40, <=50K
35, Assoc-voc, White, Male,40, <=50K
41, HS-grad, White, Male,48, <=50K
30, HS-grad, White, Male,40, <=50K
30, Bachelors, White, Male,40, <=50K
32, 7th-8th, White, Male,40, <=50K
48, HS-grad, White, Male,40, <=50K
42, Doctorate, White, Male,45, >50K
29, Some-college, White, Male,58, <=50K
36, HS-grad, White, Male,40, <=50K
28, Some-college, White, Female,40, <=50K
53, HS-grad, White, Female,40, >50K
49, Some-college, White, Male,50, >50K
25, Some-college, White, Male,40, <=50K
19, Some-college, White, Male,32, <=50K
31, Bachelors, Black, Female,40, <=50K
29, Bachelors, White, Male,70, >50K
23, Some-college, White, Male,40, <=50K
79, Some-college, White, Male,20, <=50K
27, HS-grad, White, Male,40, <=50K
40, Assoc-acdm, White, Male,40, <=50K
67, 10th, White, Male,2, <=50K
18, 11th, White, Female,22, <=50K
31, 7th-8th, White, Male,40, <=50K
18, HS-grad, White, Male,30, <=50K
52, Bachelors, White, Male,40, <=50K
46, HS-grad, White, Female,40, <=50K
59, HS-grad, White, Male,48, <=50K
44, HS-grad, White, Female,40, >50K
53, HS-grad, White, Female,35, <=50K
49, HS-grad, White, Male,40, >50K
33, Masters, White, Male,50, <=50K
30, 9th, White, Male,40, <=50K
43, Doctorate, White, Female,50, >50K
57, Assoc-voc, White, Male,40, <=50K
37, Some-college, White, Female,40, <=50K
28, Some-college, Black, Female,25, <=50K
30, HS-grad, Asian-Pac-Islander, Female,35, <=50K
34, Bachelors, White, Male,40, >50K
29, Some-college, White, Male,50, <=50K
48, Doctorate, White, Male,60, >50K
37, Some-college, White, Male,48, >50K
48, Assoc-acdm, White, Female,40, <=50K
32, HS-grad, Black, Male,40, <=50K
76, Masters, White, Male,40, >50K
44, Bachelors, White, Male,60, >50K
47, Masters, White, Female,50, <=50K
20, Some-college, White, Female,40, <=50K
29, HS-grad, White, Male,40, <=50K
32, HS-grad, White, Male,40, >50K
17, 10th, White, Female,32, <=50K
30, 11th, White, Male,40, <=50K
31, HS-grad, White, Female,40, <=50K
42, HS-grad, White, Male,40, <=50K
24, Bachelors, White, Male,40, <=50K
38, Prof-school, White, Male,40, >50K
56, HS-grad, White, Male,50, >50K
28, Some-college, White, Female,25, <=50K
36, HS-grad, White, Female,40, <=50K
53, 9th, White, Male,50, <=50K
56, Some-college, White, Male,50, <=50K
49, Assoc-voc, Black, Male,40, >50K
55, Some-college, White, Male,56, <=50K
22, HS-grad, White, Male,41, <=50K
21, Some-college, White, Female,40, <=50K
40, Bachelors, White, Male,60, <=50K
30, Bachelors, Black, Male,40, <=50K
29, Bachelors, White, Male,50, >50K
19, Some-college, Black, Male,35, <=50K
47, Bachelors, White, Female,40, >50K
20, Some-college, White, Female,28, <=50K
31, Assoc-acdm, White, Male,40, >50K
35, HS-grad, White, Male,40, <=50K
39, Some-college, White, Male,40, <=50K
28, Assoc-acdm, White, Female,60, <=50K
24, HS-grad, White, Female,40, <=50K
38, HS-grad, White, Male,35, <=50K
37, Bachelors, White, Male,50, <=50K
46, Assoc-acdm, Black, Female,36, <=50K
38, Masters, White, Male,40, >50K
43, HS-grad, White, Male,60, <=50K
27, Assoc-voc, White, Female,35, <=50K
20, Some-college, White, Male,20, <=50K
